,tweet_id,user_id,Impoliteness,Intolerance,label_conf
0,1494132549479809026,1480210636864819203,0.0,0.0,0.666666667
1,1492847453191610369,1286366430024220675,0.0,0.0,0.666666667
2,1488546581561282562,1011453344,0.0,0.0,1.0
3,1493749259065339904,1480115204734267396,1.0,0.0,0.666666667
4,1444301912996728848,83016544,0.0,0.0,0.666666667
5,1492877980099616768,145682886,0.0,0.0,1.0
6,1478211215516073985,1437096038800654338,1.0,0.0,1.0
7,1.4835127120344924e+18,1483200316938108936,0.0,0.0,1.0
8,1.4919364364755515e+18,1466601077562875912,0.0,0.0,0.8
9,1.4873131705910682e+18,1479067792926257156,0.0,1.0,1.0
10,1484001277076033536,1483818271816175616,0.0,0.0,0.666666667
11,1.4841633096038154e+18,1483122804086251526,0.0,0.0,0.666666667
12,1486092400011448321,1484159862108045316,0.0,1.0,0.666666667
13,1492255423457542144,220808428,1.0,0.0,1.0
14,1495524992859222020,1484198546588901380,1.0,1.0,
15,1.4954615744878182e+18,1391803195446415361,0.0,0.0,0.666666667
16,1.4896192527179694e+18,1484387805744693248,0.0,0.0,1.0
17,1489292322076565507,1312126058519556100,1.0,0.0,0.6
18,1491852227916537865,798646050,0.0,0.0,1.0
19,1489042941796659206,1437388515478757388,0.0,1.0,0.666666667
20,1489629821307133958,1364668408596475908,0.0,0.0,1.0
21,1495427429061390341,1462453237613678592,1.0,0.0,0.666666667
22,1471139607869673479,1470309185732571136,0.0,0.0,1.0
23,1.4822779186550948e+18,1480952895466057728,0.0,0.0,1.0
24,1.4854180580679393e+18,1475515128774864900,0.0,0.0,0.666666667
25,1485011002924093440,1482929053862703106,0.0,0.0,1.0
26,1479964209198813185,1304941520550797318,0.0,0.0,0.75
27,1495195109352165379,13544232,0.0,0.0,1.0
28,1492679717735960577,1392109514976071681,1.0,0.0,0.666666667
29,1147227669563617281,1131960994563944448,0.0,1.0,0.666666667
30,1482354931919110146,1371327447128539157,1.0,0.0,0.666666667
31,1489943262718738432,1455262126361227267,0.0,1.0,0.666666667
32,1495069373471543303,1098246609115275264,0.0,0.0,0.666666667
33,454753263544311808,754282928,0.0,0.0,
34,1337715643316113408,243846085,0.0,0.0,0.666666667
35,1491232911718490112,1213979082032988160,0.0,0.0,1.0
36,1.4955576945514373e+18,1029552194100584448,0.0,0.0,1.0
37,1450081314930106370,1275398028803932162,0.0,0.0,0.666666667
38,1489708879252529159,1409690742315012097,0.0,0.0,1.0
39,1493691852154970121,39155029,0.0,0.0,1.0
40,1.4915935183007785e+18,955231408074747906,0.0,0.0,0.75
41,1489893010523492352,209561944,0.0,0.0,1.0
42,1488040069415858185,1478615714525233152,0.0,1.0,
43,1.490894957258756e+18,1377724425596903425,0.0,0.0,0.666666667
44,1480712345613594624,1184521181765832704,1.0,0.0,0.666666667
45,1.4425703333246566e+18,1338564510731288576,0.0,1.0,0.666666667
46,1464111392336850976,1331984718133403654,0.0,0.0,0.6
47,1.488929647337345e+18,1191817716006604802,0.0,0.0,0.666666667
48,1.4440743898053386e+18,68269530,0.0,0.0,0.666666667
49,1491569444325371910,1429274815928705029,0.0,0.0,1.0
50,1495488451482988554,1461325859025997829,0.0,0.0,0.75
51,1494683821484097536,1471110838471716864,1.0,0.0,0.6
52,1493433246373355523,1406321957663084549,1.0,0.0,0.666666667
53,1469063145410998280,1312243242298224641,1.0,1.0,0.666666667
54,1.495513082537386e+18,1478503900118454272,0.0,1.0,
55,1.491255725112193e+18,4076324253,0.0,1.0,0.666666667
56,1.4947430766899569e+18,1475975623612899333,0.0,0.0,0.666666667
57,1477331545648160768,1474567329442902021,1.0,0.0,1.0
58,1.490270620218798e+18,1479067792926257156,1.0,0.0,1.0
59,1493910013273849861,1330042939419095043,0.0,0.0,
60,1493114507228594177,1285938935747805185,0.0,0.0,0.666666667
61,1.4889256297603932e+18,175122846,0.0,0.0,
62,1.490294954006139e+18,1336526171564072960,0.0,0.0,1.0
63,1351384956833046529,92383756,1.0,0.0,1.0
64,1493301824215867394,1486835856652451844,0.0,1.0,0.666666667
65,1.4911132053554176e+18,1345461797361504259,0.0,0.0,1.0
66,1.4950597370748764e+18,1441107820393340932,0.0,0.0,0.666666667
67,1494800648776392710,1306032255710699522,1.0,0.0,1.0
68,1486063586518650881,1451308366773501962,0.0,0.0,0.666666667
69,1488337089926406146,1443003621017206784,0.0,1.0,0.666666667
70,1455530060232933380,20602733,0.0,0.0,0.666666667
71,1.4943251859938427e+18,468589378,0.0,0.0,0.666666667
72,1493679193116360706,1244714773624893443,1.0,0.0,1.0
73,1471239833959890945,1285031876,0.0,0.0,1.0
74,1426442633929441280,1326296296756482048,0.0,0.0,1.0
75,1486506678665326598,1481047359052263426,1.0,0.0,0.666666667
76,1490638847264317442,1451308366773501962,0.0,1.0,0.666666667
77,1077226713782865920,576028686,0.0,0.0,0.666666667
78,1.4824940720949617e+18,1482489625079959552,1.0,0.0,0.666666667
79,1489770437911351297,1464679034663706641,0.0,0.0,0.666666667
80,1484748605537804289,295693554,0.0,0.0,1.0
81,1487103955003916289,2563052352,1.0,0.0,0.666666667
82,1489287232175419406,1487581268103647232,0.0,0.0,0.75
83,1481262783195156480,1460577461901541377,0.0,0.0,
84,1.4920273294005166e+18,1479067792926257156,0.0,1.0,0.666666667
85,1.4951212164909425e+18,1482439091643949065,0.0,0.0,1.0
86,1131659577072599040,416658756,0.0,0.0,0.666666667
87,1490400719828099077,1486294991194501121,0.0,0.0,1.0
88,1468382196557877248,385261880,1.0,0.0,0.8
89,1495254966985969667,733853907219161089,1.0,0.0,0.666666667
90,1.484059336016122e+18,1468760915709468680,0.0,1.0,0.75
91,1482225836271017987,1482222842695626756,0.0,0.0,1.0
92,1492642324412727298,1486191759658930178,1.0,1.0,
