,tweet,source,tweet_id,user_id,Impoliteness,Intolerance,uncivil_confidence,uncivil_binary_label,bin_confidence,impo_alon,into_alon,note_alon
0,Democrats Blast Tom Cotton For Holding 8 US Attorney Nominees Hostage @LINK via @USER,active_learning,1.49413E+18,1.48021E+18,0,0,0.666666667,0,0.666666667,,,
1,@USER @USER They are responsible for millions of injuries and deaths in children. They need to be stopped but unfortunately so many refuse to believe it.,perspective_features,1.49285E+18,1.28637E+18,0,0,0.666666667,0,0.666666667,,,
2,Ted Cruz: Biden's Supreme Court promise is 'offensive' to black women | ... @LINK via @USER,perspective_features,1.48855E+18,1011453344,0,0,1,0,1,,,
3,@USER You are pro Patriot act. You have no like to stand on,twitter_features,1.49375E+18,1.48012E+18,1,0,0.666666667,1,0.666666667,,,
4,"@USER Subtract NYC, Chicago, San Francisco, Los Angeles, Philadelphia, Washington, Boston metro areas from the rest of the U.S. and no Dems would ever win again. Why should hopelessly corrupt big cities with zero election integrity run the 90% of the remaining regions?",active_learning,1.4443E+18,83016544,0,0,0.666666667,0,0.666666667,,,
5,"#OTD in 1920, the League of Nations formally recognized Swiss neutrality, creating the headquarters in Geneva and exempting Switzerland from military obligations. #DebateAndDiplomacyInHistory",random,1.49288E+18,145682886,0,0,1,0,1,,,
6,"@USER @USER anyone w/ a pulse knows you're an idiot. Boebert: "" oh I am hot!"" No. You have big buck teeth, a wide flat ass, & a cheap lop sided boob job. Boebert: "" I can handle guns & you should be scared."" No. Illiterate folks & the educated can handle guns.",twitter_features,1.47821E+18,1.4371E+18,1,0,1,1,1,,,
7,@USER @USER @USER Todays unions do nothing but steal me by from members and destroy companies. They are no longer needed.,active_learning,1.48E+18,1.4832E+18,0,0,1,0,1,,,
8,@USER @USER @USER We wait in misery and suffering for the day where it will be said that US CITIZENS & their foreign spouses can finally go home without RACIST & XENOPHOBIC barriers in their way. #HR2920 or Eliminate the bars altogether. We all suffer needlessly! @LINK,active_learning,1.49E+18,1.4666E+18,0,0,0.8,0,0.8,,,
9,"@USER @USER You want back into power so badly you would end 280"" years of democracy to turn our nation into a replica of nazi Germany. With even a man of German decent Donald Trump. The fuhrer of the GOP along with brown shirts. KKK-oath keeper's-proud boys-neo nazis. With AR-15. @LINK",perspective_features,1.49E+18,1.47907E+18,0,1,1,1,1,,,
